Sport,Team,Product ID,Product Name,Product Price,Brand Name,Product URL
NFL,arizona-cardinals,3546156,Kyler Murray Arizona Cardinals Nike Infant Game Jersey - Cardinal,19.99,Nike,https://www.fanatics.com/nfl/arizona-cardinals/kyler-murray-arizona-cardinals-nike-infant-game-jersey-cardinal/o-3527+t-81263442+p-92729395474+z-9-2519267284
NFL,arizona-cardinals,4537951,Arizona Cardinals Newborn & Infant Game Nap Teddy Fleece Bunting Full-Zip Sleeper - Cardinal,39.99,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/arizona-cardinals-newborn-and-infant-game-nap-teddy-fleece-bunting-full-zip-sleeper-cardinal/o-3549+t-25261219+p-71499263293+z-9-360113839
NFL,arizona-cardinals,3143060,"Arizona Cardinals Newborn & Infant Eat, Sleep, Drool Football Three-Piece Bodysuit Set - Cardinal/Black",29.99,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/arizona-cardinals-newborn-and-infant-eat-sleep-drool-football-three-piece-bodysuit-set-cardinal/black/o-4649+t-69931264+p-031287651+z-7-3369474812
NFL,arizona-cardinals,1346702,Arizona Cardinals Newborn & Infant Team Logo Bodysuit - Cardinal,19.99,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/arizona-cardinals-newborn-and-infant-team-logo-bodysuit-cardinal/o-1349+t-14484519+p-78253751843+z-9-1140235158
NFL,arizona-cardinals,4478471,"Girls Infant Cardinal Arizona Cardinals Bib, Booties & Bodysuit Set",26.99,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/girls-infant-cardinal-arizona-cardinals-bib-booties-and-bodysuit-set/o-5794+t-70042375+p-041527173+z-7-3755811680
NFL,arizona-cardinals,5015309,Newborn & Infant Cardinal Arizona Cardinals Allover Print Full-Zip Footed Jumper,18.00,NFL Properties,https://www.fanatics.com/nfl/arizona-cardinals/newborn-and-infant-cardinal-arizona-cardinals-allover-print-full-zip-footed-jumper/o-3583+t-03825653+p-72553494689+z-9-2120509950
NFL,arizona-cardinals,3965441,Kyler Murray Arizona Cardinals Infant Mainliner Player Name & Number Bodysuit - Cardinal,23.99,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/kyler-murray-arizona-cardinals-infant-mainliner-player-name-and-number-bodysuit-cardinal/o-2472+t-69596753+p-14434083617+z-9-3334830120
NFL,arizona-cardinals,4478432,Newborn & Infant Red Arizona Cardinals Sherpa Full-Zip Sleeper,29.99,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/newborn-and-infant-red-arizona-cardinals-sherpa-full-zip-sleeper/o-4616+t-70482375+p-0415742506+z-8-98049090
NFL,arizona-cardinals,4294768,Infant Black Arizona Cardinals Football T-Shirt,10.99,Gerber,https://www.fanatics.com/nfl/arizona-cardinals/infant-black-arizona-cardinals-football-t-shirt/o-6872+t-70372319+p-9379980431+z-8-2753614734
NFL,arizona-cardinals,4554384,Arizona Cardinals Infant Slouch Flex Hat - Cardinal,19.99,Outerstuff,https://www.fanatics.com/nfl/arizona-cardinals/arizona-cardinals-infant-slouch-flex-hat-cardinal/o-4605+t-14714542+p-37618337785+z-9-42628018
