Sport,Team,Product ID,Product Name,Product Price,Brand Name,Product URL
NHL,anaheim-ducks,2912956,Anaheim Ducks Infant Personalized Bodysuit - Black,42.99,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-infant-personalized-bodysuit-black/o-9139+t-47601650+p-0221671292+z-8-3025594499
NHL,anaheim-ducks,2460935,Anaheim Ducks Newborn & Infant Personalized Bib - White,22.99,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-newborn-and-infant-personalized-bib-white/o-2428+t-03484983+p-79934000155+z-9-4179128901
NHL,anaheim-ducks,2468881,Anaheim Ducks Personalized Baby Blanket - White,49.99,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-personalized-baby-blanket-white/o-3573+t-14600527+p-35044019152+z-9-1328731634
NHL,anaheim-ducks,4758066,Anaheim Ducks Infant Take The Lead T-Shirt - Black,12.99,Outerstuff,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-infant-take-the-lead-t-shirt-black/o-3517+t-36717205+p-71969420379+z-9-1474754677
NHL,anaheim-ducks,3072216,Anaheim Ducks Infant Personalized Bib - Black,29.99,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-infant-personalized-bib-black/o-2440+t-25043805+p-92226302458+z-9-2887724925
NHL,anaheim-ducks,2461433,Anaheim Ducks Infant Personalized Burp Cloth - White,19.99,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-infant-personalized-burp-cloth-white/o-2406+t-81934983+p-80592889631+z-9-1049584669
NHL,anaheim-ducks,3340386,Anaheim Ducks Children's Personalized Rocking Chair - Black,109.99,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-childrens-personalized-rocking-chair-black/o-1362+t-69713805+p-47928277442+z-9-3047604276
NHL,anaheim-ducks,2461247,Anaheim Ducks Newborn & Infant Personalized Medium Gift Basket - White,170.00,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-newborn-and-infant-personalized-medium-gift-basket-white/o-4617+t-47048394+p-02485134651+z-9-3385800768
NHL,anaheim-ducks,2461154,Anaheim Ducks Newborn & Infant Personalized Large Gift Basket - White,238.00,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-newborn-and-infant-personalized-large-gift-basket-white/o-4606+t-03268316+p-02933956554+z-9-3324254007
NHL,anaheim-ducks,3072277,Anaheim Ducks Infant Personalized Blanket - Black,48.99,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-infant-personalized-blanket-black/o-3595+t-25045005+p-81001891569+z-9-968618409
NHL,anaheim-ducks,2461340,Anaheim Ducks Infant Personalized Hooded Towel & Mitt Set - White,44.99,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-infant-personalized-hooded-towel-and-mitt-set-white/o-4606+t-14482738+p-24930690741+z-9-1976408958
NHL,anaheim-ducks,4011472,Anaheim Ducks Infant Personalized Team Color Robe - Black,69.99,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-infant-personalized-team-color-robe-black/o-3595+t-70939483+p-37778945769+z-9-2030357926
NHL,anaheim-ducks,2606739,Anaheim Ducks Infant Personalized Bodysuit - White,44.99,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-infant-personalized-bodysuit-white/o-1362+t-36158338+p-1306997360+z-8-3971679079
NHL,anaheim-ducks,2461028,Anaheim Ducks Newborn & Infant Personalized Bib & Burp Cloth Set - White,42.99,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-newborn-and-infant-personalized-bib-and-burp-cloth-set-white/o-4617+t-36938327+p-91154023431+z-9-1390289649
NHL,anaheim-ducks,2461559,Anaheim Ducks Personalized Small Gift Basket - White,100.00,Chad & Jake,https://www.fanatics.com/nhl/anaheim-ducks/anaheim-ducks-personalized-small-gift-basket-white/o-1362+t-36716138+p-24486290612+z-9-2478371280
