Sport,Team,Product ID,Product Name,Product Price,Brand Name,Product URL
Soccer,paris-saint-germain,4185576,Paris Saint-Germain Nike Infant 2021/22 Third Replica Kit - Black,41.99,Nike,https://www.fanatics.com/international-clubs/paris-saint-germain/paris-saint-germain-nike-infant-2021/22-third-replica-kit-black/o-20543511+t-58757059+p-265600881+z-9-3338114243
Soccer,paris-saint-germain,4531028,Paris Saint-Germain Nike Preschool 2022/23 Replica Home Performance Kit - Navy,71.99,Nike,https://www.fanatics.com/international-clubs/paris-saint-germain/paris-saint-germain-nike-preschool-2022/23-replica-home-performance-kit-navy/o-19767955+t-70757037+p-049448775+z-9-3427883064
Soccer,paris-saint-germain,4405932,Paris Saint-Germain Jordan Brand Infant 2022/23 Fourth Stadium Kit Set - White,74.99,Jordan Brand,https://www.fanatics.com/international-clubs/paris-saint-germain/paris-saint-germain-jordan-brand-infant-2022/23-fourth-stadium-kit-set-white/o-53544644+t-58318115+p-9949460+z-7-2699832512
Soccer,bayern-munich,4580330,Bayern Munich adidas Infant 2022 Home Kit - Red,66.99,adidas,https://www.fanatics.com/bundesliga/bayern-munich/bayern-munich-adidas-infant-2022-home-kit-red/o-43081377+t-47306869+p-488320404+z-9-2608878509
Soccer,chelsea,4142600,Chelsea New Era Infant Team Color Bucket Hat - Blue,25.99,New Era,https://www.fanatics.com/international-clubs/chelsea/chelsea-new-era-infant-team-color-bucket-hat-blue/o-20761388+t-87338424+p-826769788+z-9-3394108694
Soccer,chelsea,4142598,Chelsea New Era Infant Soccer Ball 9TWENTY Flex Fit Hat - White,21.99,New Era,https://www.fanatics.com/international-clubs/chelsea/chelsea-new-era-infant-soccer-ball-9twenty-flex-fit-hat-white/o-31541344+t-87115179+p-824577636+z-9-1455673793
Soccer,chelsea,4531026,Chelsea Nike Preschool 2022/23 Replica Home Performance Kit - Blue,65.99,Nike,https://www.fanatics.com/international-clubs/chelsea/chelsea-nike-preschool-2022/23-replica-home-performance-kit-blue/o-64106888+t-65335191+p-93147889+z-8-1169407182
Soccer,manchester-united,4580328,Manchester United adidas Infant 2022 Home Kit - Red,66.99,adidas,https://www.fanatics.com/international-clubs/manchester-united/manchester-united-adidas-infant-2022-home-kit-red/o-31090266+t-36190135+p-268310381+z-9-1388114446
Soccer,manchester-united,4580329,Manchester United adidas Infant 2022 Away Kit - White,64.99,adidas,https://www.fanatics.com/international-clubs/manchester-united/manchester-united-adidas-infant-2022-away-kit-white/o-20214666+t-81209046+p-598302787+z-9-3689955171
Soccer,barcelona,4185575,Barcelona Nike Infant 2021/22 Third Replica Kit - Blue,60.99,Nike,https://www.fanatics.com/international-clubs/barcelona/barcelona-nike-infant-2021/22-third-replica-kit-blue/o-31657955+t-36291346+p-594511228+z-9-4108565541
